id:ID	:LABEL	label	description
EC:1.13.11.84	EnzymeClass	1.13.11.84	crocetin dialdehyde synthase
EC:1.13.12.11	EnzymeClass	1.13.12.11	methylphenyltetrahydropyridine N-monooxygenase
EC:1.13.12.12	EnzymeClass	1.13.12.12	apo-beta-carotenoid-14',13'-dioxygenase
EC:1.13.12.23	EnzymeClass	1.13.12.23	4-hydroxy-3-prenylbenzoate synthase
EC:1.14.11.7	EnzymeClass	1.14.11.7	procollagen-proline 3-dioxygenase
EC:1.14.11.24	EnzymeClass	1.14.11.24	2'-deoxymugineic-acid 2'-dioxygenase
EC:1.14.11.37	EnzymeClass	1.14.11.37	kanamycin B dioxygenase
EC:1.14.13.6	EnzymeClass	1.14.13.6	orcinol 2-monooxygenase
EC:1.14.13.56	EnzymeClass	1.14.13.56	dihydrosanguinarine 10-monooxygenase
EC:1.14.13.63	EnzymeClass	1.14.13.63	3-hydroxyphenylacetate 6-hydroxylase
EC:1.14.13.75	EnzymeClass	1.14.13.75	vinorine hydroxylase
EC:1.14.13.109	EnzymeClass	1.14.13.109	abieta-7,13-dien-18-ol hydroxylase
EC:1.14.13.114	EnzymeClass	1.14.13.114	6-hydroxynicotinate 3-monooxygenase
EC:1.14.13.125	EnzymeClass	1.14.13.125	tryptophan N-monooxygenase
EC:1.14.13.158	EnzymeClass	1.14.13.158	amorpha-4,11-diene 12-monooxygenase
EC:1.14.13.159	EnzymeClass	1.14.13.159	vitamin D 25-hydroxylase
EC:1.14.13.176	EnzymeClass	1.14.13.176	tryprostatin B 6-hydroxylase
EC:1.14.13.201	EnzymeClass	1.14.13.201	beta-amyrin 28-monooxygenase
EC:1.14.13.204	EnzymeClass	1.14.13.204	long-chain acyl-CoA omega-monooxygenase
EC:1.14.13.219	EnzymeClass	1.14.13.219	resorcinol 4-hydroxylase (NADPH)
EC:1.14.13.224	EnzymeClass	1.14.13.224	violacein synthase
EC:1.14.14.5	EnzymeClass	1.14.14.5	alkanesulfonate monooxygenase
EC:1.14.14.34	EnzymeClass	1.14.14.34	methanesulfonate monooxygenase (FMNH2)
EC:1.14.14.71	EnzymeClass	1.14.14.71	cucurbitadienol 11-hydroxylase
EC:1.14.14.87	EnzymeClass	1.14.14.87	2-hydroxyisoflavanone synthase
EC:1.14.14.97	EnzymeClass	1.14.14.97	methyltetrahydroprotoberberine 14-monooxygenase
EC:1.14.14.115	EnzymeClass	1.14.14.115	11-oxo-beta-amyrin 30-oxidase
EC:1.14.14.119	EnzymeClass	1.14.14.119	fumitremorgin C monooxygenase
EC:1.14.15.15	EnzymeClass	1.14.15.15	cholestanetriol 26-monooxygenase
EC:1.14.15.35	EnzymeClass	1.14.15.35	6-deoxyerythronolide B hydroxylase
EC:1.14.19.70	EnzymeClass	1.14.19.70	mycocyclosin synthase
EC:1.14.99.2	EnzymeClass	1.14.99.2	kynurenine 7,8-hydroxylase
EC:1.14.99.3	EnzymeClass	1.14.99.3	heme oxygenase (biliverdin-producing)
EC:1.14.99.44	EnzymeClass	1.14.99.44	diapolycopene oxygenase
EC:1.16.1.10	EnzymeClass	1.16.1.10	ferric-chelate reductase [NAD(P)H]
EC:1.16.3.-	EnzymeClass	1.16.3.-	With oxygen as acceptor
EC:1.17.7.4	EnzymeClass	1.17.7.4	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase
EC:1.17.8.-	EnzymeClass	1.17.8.-	With a flavin as acceptor
EC:1.97.1.1	EnzymeClass	1.97.1.1	chlorate reductase
EC:1.23.1.3	EnzymeClass	1.23.1.3	(-)-pinoresinol reductase
EC:2.6.1.6	EnzymeClass	2.6.1.6	leucine transaminase
EC:2.6.1.27	EnzymeClass	2.6.1.27	tryptophan transaminase
EC:2.6.1.65	EnzymeClass	2.6.1.65	N6-acetyl-beta-lysine transaminase
EC:2.6.1.77	EnzymeClass	2.6.1.77	taurine---pyruvate aminotransferase
EC:2.6.1.99	EnzymeClass	2.6.1.99	L-tryptophan---pyruvate aminotransferase
EC:2.6.1.103	EnzymeClass	2.6.1.103	(S)-3,5-dihydroxyphenylglycine transaminase
EC:2.1.1.9	EnzymeClass	2.1.1.9	thiol S-methyltransferase
EC:2.1.1.16	EnzymeClass	2.1.1.16	methylene-fatty-acyl-phospholipid synthase
EC:2.1.1.22	EnzymeClass	2.1.1.22	carnosine N-methyltransferase
EC:2.1.1.48	EnzymeClass	2.1.1.48	rRNA (adenine-N6-)-methyltransferase
EC:2.1.1.68	EnzymeClass	2.1.1.68	caffeate O-methyltransferase
EC:2.1.1.78	EnzymeClass	2.1.1.78	isoorientin 3'-O-methyltransferase
EC:2.1.1.103	EnzymeClass	2.1.1.103	phosphoethanolamine N-methyltransferase
EC:2.1.1.126	EnzymeClass	2.1.1.126	[myelin basic protein]-arginine N-methyltransferase
EC:2.1.1.151	EnzymeClass	2.1.1.151	cobalt-factor II C20-methyltransferase
EC:2.1.1.236	EnzymeClass	2.1.1.236	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose N,N-dimethyltransferase
EC:2.1.1.263	EnzymeClass	2.1.1.263	botryococcene C-methyltransferase
EC:2.1.1.309	EnzymeClass	2.1.1.309	18S rRNA (guanine1575-N7)-methyltransferase
EC:2.1.2.2	EnzymeClass	2.1.2.2	phosphoribosylglycinamide formyltransferase
EC:2.1.3.5	EnzymeClass	2.1.3.5	oxamate carbamoyltransferase
EC:2.1.3.7	EnzymeClass	2.1.3.7	3-hydroxymethylcephem carbamoyltransferase
EC:2.3.1.3	EnzymeClass	2.3.1.3	glucosamine N-acetyltransferase
EC:2.3.1.6	EnzymeClass	2.3.1.6	choline O-acetyltransferase
EC:2.3.1.14	EnzymeClass	2.3.1.14	glutamine N-phenylacetyltransferase
EC:2.3.1.28	EnzymeClass	2.3.1.28	chloramphenicol O-acetyltransferase
EC:2.3.1.107	EnzymeClass	2.3.1.107	deacetylvindoline O-acetyltransferase
EC:2.3.1.142	EnzymeClass	2.3.1.142	glycoprotein O-fatty-acyltransferase
EC:2.3.1.168	EnzymeClass	2.3.1.168	dihydrolipoyllysine-residue (2-methylpropanoyl)transferase
EC:2.3.1.214	EnzymeClass	2.3.1.214	pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase
EC:2.3.1.217	EnzymeClass	2.3.1.217	curcumin synthase
EC:2.3.1.233	EnzymeClass	2.3.1.233	1,3,6,8-tetrahydroxynaphthalene synthase
EC:2.3.1.260	EnzymeClass	2.3.1.260	tetracycline polyketide synthase
EC:2.3.1.267	EnzymeClass	2.3.1.267	[ribosomal protein S5]-alanine N-acetyltransferase
EC:2.3.2.5	EnzymeClass	2.3.2.5	glutaminyl-peptide cyclotransferase
EC:2.3.2.19	EnzymeClass	2.3.2.19	ribostamycin:4-(gamma-L-glutamylamino)-(S)-2-hydroxybutanoyl-[BtrI acyl-carrier protein] 4-(gamma-L-glutamylamino)-(S)-2-hydroxybutanoate transferase
EC:2.4.1.32	EnzymeClass	2.4.1.32	glucomannan 4-beta-mannosyltransferase
EC:2.4.1.73	EnzymeClass	2.4.1.73	lipopolysaccharide glucosyltransferase II
EC:2.4.1.160	EnzymeClass	2.4.1.160	pyridoxine 5'-O-beta-D-glucosyltransferase
EC:2.4.1.168	EnzymeClass	2.4.1.168	xyloglucan 4-glucosyltransferase
EC:2.4.1.195	EnzymeClass	2.4.1.195	N-hydroxythioamide S-beta-glucosyltransferase
EC:2.4.1.203	EnzymeClass	2.4.1.203	trans-zeatin O-beta-D-glucosyltransferase
EC:2.4.1.207	EnzymeClass	2.4.1.207	xyloglucan:xyloglucosyl transferase
EC:2.4.1.237	EnzymeClass	2.4.1.237	flavonol 7-O-beta-glucosyltransferase
EC:2.4.1.255	EnzymeClass	2.4.1.255	protein O-GlcNAc transferase
EC:2.4.1.297	EnzymeClass	2.4.1.297	anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase
EC:2.4.1.348	EnzymeClass	2.4.1.348	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase
EC:2.4.2.8	EnzymeClass	2.4.2.8	hypoxanthine phosphoribosyltransferase
EC:2.4.2.58	EnzymeClass	2.4.2.58	hydroxyproline O-arabinosyltransferase
EC:2.4.99.3	EnzymeClass	2.4.99.3	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase
EC:2.5.1.49	EnzymeClass	2.5.1.49	O-acetylhomoserine aminocarboxypropyltransferase
EC:2.5.1.56	EnzymeClass	2.5.1.56	N-acetylneuraminate synthase
EC:2.5.1.71	EnzymeClass	2.5.1.71	leachianone-G 2''-dimethylallyltransferase
EC:2.5.1.85	EnzymeClass	2.5.1.85	all-trans-nonaprenyl diphosphate synthase [geranylgeranyl-diphosphate specific]
EC:2.7.1.92	EnzymeClass	2.7.1.92	5-dehydro-2-deoxygluconokinase
EC:2.7.1.171	EnzymeClass	2.7.1.171	protein-fructosamine 3-kinase
EC:2.7.1.198	EnzymeClass	2.7.1.198	protein-Npi-phosphohistidine---D-sorbitol phosphotransferase
EC:2.7.1.199	EnzymeClass	2.7.1.199	protein-Npi-phosphohistidine---D-glucose phosphotransferase
EC:2.7.1.204	EnzymeClass	2.7.1.204	protein-Npi-phosphohistidine---D-galactose phosphotransferase
EC:2.7.1.217	EnzymeClass	2.7.1.217	3-dehydrotetronate 4-kinase
EC:2.7.3.13	EnzymeClass	2.7.3.13	glutamine kinase
EC:2.7.4.23	EnzymeClass	2.7.4.23	ribose 1,5-bisphosphate phosphokinase
EC:2.7.6.4	EnzymeClass	2.7.6.4	nucleotide diphosphokinase
EC:2.7.7.2	EnzymeClass	2.7.7.2	FAD synthetase
EC:2.7.14.-	EnzymeClass	2.7.14.-	Protein-arginine kinases
EC:2.8.2.14	EnzymeClass	2.8.2.14	bile-salt sulfotransferase
EC:2.8.2.16	EnzymeClass	2.8.2.16	thiol sulfotransferase
EC:2.8.3.23	EnzymeClass	2.8.3.23	caffeate CoA-transferase
EC:3.1.1.38	EnzymeClass	3.1.1.38	triacetate-lactonase
EC:3.1.1.51	EnzymeClass	3.1.1.51	phorbol-diester hydrolase
EC:3.1.2.3	EnzymeClass	3.1.2.3	succinyl-CoA hydrolase
EC:3.1.2.25	EnzymeClass	3.1.2.25	phenylacetyl-CoA hydrolase
EC:3.1.2.29	EnzymeClass	3.1.2.29	fluoroacetyl-CoA thioesterase
EC:3.1.3.14	EnzymeClass	3.1.3.14	methylphosphothioglycerate phosphatase
EC:3.1.3.20	EnzymeClass	3.1.3.20	phosphoglycerate phosphatase
EC:3.1.3.40	EnzymeClass	3.1.3.40	guanidinodeoxy-scyllo-inositol-4-phosphatase
EC:3.1.3.55	EnzymeClass	3.1.3.55	caldesmon-phosphatase
EC:3.1.3.88	EnzymeClass	3.1.3.88	5''-phosphoribostamycin phosphatase
EC:3.1.3.91	EnzymeClass	3.1.3.91	7-methylguanosine nucleotidase
EC:3.1.3.92	EnzymeClass	3.1.3.92	kanosamine-6-phosphate phosphatase
EC:3.1.3.101	EnzymeClass	3.1.3.101	validoxylamine A 7'-phosphate phosphatase
EC:3.1.6.8	EnzymeClass	3.1.6.8	cerebroside-sulfatase
EC:3.1.21.3	EnzymeClass	3.1.21.3	type I site-specific deoxyribonuclease
EC:3.1.25.-	EnzymeClass	3.1.25.-	Site-specific endodeoxyribonucleases that are specific for altered bases
EC:3.1.27.1	EnzymeClass	3.1.27.1	ribonuclease T2
EC:3.1.27.3	EnzymeClass	3.1.27.3	ribonuclease T1
EC:3.2.1.40	EnzymeClass	3.2.1.40	alpha-L-rhamnosidase
EC:3.2.1.47	EnzymeClass	3.2.1.47	galactosylgalactosylglucosylceramidase
EC:3.2.1.64	EnzymeClass	3.2.1.64	2,6-beta-fructan 6-levanbiohydrolase
EC:3.2.1.102	EnzymeClass	3.2.1.102	blood-group-substance endo-1,4-beta-galactosidase
EC:3.2.1.151	EnzymeClass	3.2.1.151	xyloglucan-specific endo-beta-1,4-glucanase
EC:3.2.1.198	EnzymeClass	3.2.1.198	alpha-mannan endo-1,2-alpha-mannanase
EC:3.2.2.1	EnzymeClass	3.2.2.1	purine nucleosidase
EC:3.2.2.9	EnzymeClass	3.2.2.9	adenosylhomocysteine nucleosidase
EC:3.3.-.-	EnzymeClass	3.3.-.-	Acting on ether bonds
EC:3.4.11.1	EnzymeClass	3.4.11.1	leucyl aminopeptidase
EC:3.4.15.-	EnzymeClass	3.4.15.-	Peptidyl-dipeptidases
EC:3.4.21.34	EnzymeClass	3.4.21.34	plasma kallikrein
EC:3.4.21.98	EnzymeClass	3.4.21.98	hepacivirin
EC:3.4.21.108	EnzymeClass	3.4.21.108	HtrA2 peptidase
EC:3.4.21.110	EnzymeClass	3.4.21.110	C5a peptidase
EC:3.4.22.37	EnzymeClass	3.4.22.37	gingipain R
EC:3.4.23.5	EnzymeClass	3.4.23.5	cathepsin D
EC:3.4.24.13	EnzymeClass	3.4.24.13	IgA-specific metalloendopeptidase
EC:3.4.24.14	EnzymeClass	3.4.24.14	procollagen N-endopeptidase
EC:3.4.24.15	EnzymeClass	3.4.24.15	thimet oligopeptidase
EC:3.4.24.19	EnzymeClass	3.4.24.19	procollagen C-endopeptidase
EC:3.4.24.33	EnzymeClass	3.4.24.33	peptidyl-Asp metalloendopeptidase
EC:3.4.24.48	EnzymeClass	3.4.24.48	ruberlysin
EC:3.4.24.52	EnzymeClass	3.4.24.52	trimerelysin I
EC:3.4.24.53	EnzymeClass	3.4.24.53	trimerelysin II
EC:3.4.24.67	EnzymeClass	3.4.24.67	choriolysin H
EC:3.4.24.81	EnzymeClass	3.4.24.81	ADAM10 endopeptidase
EC:3.4.24.82	EnzymeClass	3.4.24.82	ADAMTS-4 endopeptidase
EC:3.4.24.86	EnzymeClass	3.4.24.86	ADAM 17 endopeptidase
EC:3.4.24.88	EnzymeClass	3.4.24.88	desampylase
EC:3.5.1.10	EnzymeClass	3.5.1.10	formyltetrahydrofolate deformylase
EC:3.5.1.57	EnzymeClass	3.5.1.57	tryptophanamidase
EC:3.5.1.58	EnzymeClass	3.5.1.58	N-benzyloxycarbonylglycine hydrolase
EC:3.5.1.88	EnzymeClass	3.5.1.88	peptide deformylase
EC:3.5.3.5	EnzymeClass	3.5.3.5	formimidoylaspartate deiminase
EC:3.5.3.18	EnzymeClass	3.5.3.18	dimethylargininase
EC:3.5.4.30	EnzymeClass	3.5.4.30	dCTP deaminase (dUMP-forming)
EC:3.5.4.41	EnzymeClass	3.5.4.41	5'-deoxyadenosine deaminase
EC:3.5.99.2	EnzymeClass	3.5.99.2	aminopyrimidine aminohydrolase
EC:3.5.99.8	EnzymeClass	3.5.99.8	5-nitroanthranilic acid aminohydrolase
EC:3.6.1.9	EnzymeClass	3.6.1.9	nucleotide diphosphatase
EC:3.6.1.43	EnzymeClass	3.6.1.43	dolichyldiphosphatase
EC:3.6.1.52	EnzymeClass	3.6.1.52	diphosphoinositol-polyphosphate diphosphatase
EC:3.6.1.57	EnzymeClass	3.6.1.57	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
EC:3.6.1.65	EnzymeClass	3.6.1.65	(d)CTP diphosphatase
EC:3.6.1.67	EnzymeClass	3.6.1.67	dihydroneopterin triphosphate diphosphatase
EC:3.7.1.7	EnzymeClass	3.7.1.7	beta-diketone hydrolase
EC:3.7.1.18	EnzymeClass	3.7.1.18	6-oxocamphor hydrolase
EC:3.8.1.3	EnzymeClass	3.8.1.3	haloacetate dehalogenase
EC:3.8.1.11	EnzymeClass	3.8.1.11	2-haloacid dehalogenase (configuration-retaining)
EC:4.1.1.2	EnzymeClass	4.1.1.2	oxalate decarboxylase
EC:4.1.1.36	EnzymeClass	4.1.1.36	phosphopantothenoylcysteine decarboxylase
EC:4.1.1.54	EnzymeClass	4.1.1.54	dihydroxyfumarate decarboxylase
EC:4.1.1.66	EnzymeClass	4.1.1.66	uracil-5-carboxylate decarboxylase
EC:4.1.1.82	EnzymeClass	4.1.1.82	phosphonopyruvate decarboxylase
EC:4.1.2.9	EnzymeClass	4.1.2.9	phosphoketolase
EC:4.1.2.34	EnzymeClass	4.1.2.34	4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase
EC:4.1.2.42	EnzymeClass	4.1.2.42	D-threonine aldolase
EC:4.1.2.47	EnzymeClass	4.1.2.47	(S)-hydroxynitrile lyase
EC:4.1.2.48	EnzymeClass	4.1.2.48	low-specificity L-threonine aldolase
EC:4.1.2.60	EnzymeClass	4.1.2.60	dihydroneopterin triphosphate aldolase
EC:4.1.99.19	EnzymeClass	4.1.99.19	2-iminoacetate synthase
EC:4.2.1.22	EnzymeClass	4.2.1.22	cystathionine beta-synthase
EC:4.2.1.32	EnzymeClass	4.2.1.32	L(+)-tartrate dehydratase
EC:4.2.1.44	EnzymeClass	4.2.1.44	myo-inosose-2 dehydratase
EC:4.2.1.58	EnzymeClass	4.2.1.58	crotonoyl-[acyl-carrier-protein] hydratase
EC:4.2.1.62	EnzymeClass	4.2.1.62	5alpha-hydroxysteroid dehydratase
EC:4.2.1.143	EnzymeClass	4.2.1.143	versicolorin B synthase
EC:4.2.1.164	EnzymeClass	4.2.1.164	dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase
EC:4.2.2.23	EnzymeClass	4.2.2.23	rhamnogalacturonan endolyase
EC:4.2.3.27	EnzymeClass	4.2.3.27	isoprene synthase
EC:4.2.3.51	EnzymeClass	4.2.3.51	beta-phellandrene synthase (neryl-diphosphate-cyclizing)
EC:4.2.3.56	EnzymeClass	4.2.3.56	gamma-humulene synthase
EC:4.2.3.68	EnzymeClass	4.2.3.68	beta-eudesmol synthase
EC:4.2.3.84	EnzymeClass	4.2.3.84	10-epi-gamma-eudesmol synthase
EC:4.2.3.110	EnzymeClass	4.2.3.110	(+)-sabinene synthase
EC:4.2.3.111	EnzymeClass	4.2.3.111	(-)-alpha-terpineol synthase
EC:4.2.3.114	EnzymeClass	4.2.3.114	gamma-terpinene synthase
EC:4.2.3.143	EnzymeClass	4.2.3.143	kunzeaol synthase
EC:4.3.1.12	EnzymeClass	4.3.1.12	ornithine cyclodeaminase
EC:4.3.1.19	EnzymeClass	4.3.1.19	threonine ammonia-lyase
EC:4.3.99.-	EnzymeClass	4.3.99.-	Other carbon-nitrogen lyases
EC:4.4.1.1	EnzymeClass	4.4.1.1	cystathionine gamma-lyase
EC:4.4.1.14	EnzymeClass	4.4.1.14	1-aminocyclopropane-1-carboxylate synthase
EC:5.1.1.17	EnzymeClass	5.1.1.17	isopenicillin-N epimerase
EC:5.1.3.1	EnzymeClass	5.1.3.1	ribulose-phosphate 3-epimerase
EC:5.1.3.21	EnzymeClass	5.1.3.21	maltose epimerase
EC:5.1.3.40	EnzymeClass	5.1.3.40	D-tagatose 6-phosphate 4-epimerase
EC:5.1.99.8	EnzymeClass	5.1.99.8	7,8-dihydroneopterin epimerase
EC:5.2.-.-	EnzymeClass	5.2.-.-	<em>cis-trans-</em>Isomerases
EC:5.3.2.-	EnzymeClass	5.3.2.-	Interconverting keto- and enol-groups
EC:5.3.2.1	EnzymeClass	5.3.2.1	phenylpyruvate tautomerase
EC:5.4.2.9	EnzymeClass	5.4.2.9	phosphoenolpyruvate mutase
EC:5.4.3.6	EnzymeClass	5.4.3.6	tyrosine 2,3-aminomutase
EC:5.4.3.7	EnzymeClass	5.4.3.7	leucine 2,3-aminomutase
EC:5.4.3.9	EnzymeClass	5.4.3.9	glutamate 2,3-aminomutase
EC:5.4.4.1	EnzymeClass	5.4.4.1	(hydroxyamino)benzene mutase
EC:5.4.99.2	EnzymeClass	5.4.99.2	methylmalonyl-CoA mutase
EC:5.4.99.31	EnzymeClass	5.4.99.31	thalianol synthase
EC:5.5.1.16	EnzymeClass	5.5.1.16	halimadienyl-diphosphate synthase
EC:5.5.1.20	EnzymeClass	5.5.1.20	prosolanapyrone-III cycloisomerase
EC:6.1.1.24	EnzymeClass	6.1.1.24	glutamate---tRNAGln ligase
EC:6.1.3.1	EnzymeClass	6.1.3.1	olefin beta-lactone synthetase
EC:6.2.1.35	EnzymeClass	6.2.1.35	acetate---[acyl-carrier protein] ligase
EC:6.3.1.15	EnzymeClass	6.3.1.15	8-demethylnovobiocic acid synthase
EC:6.3.2.-	EnzymeClass	6.3.2.-	Acid--amino-acid ligases (peptide synthases)
EC:6.3.2.11	EnzymeClass	6.3.2.11	carnosine synthase
EC:6.3.2.20	EnzymeClass	6.3.2.20	indoleacetate---lysine synthetase
EC:6.3.4.7	EnzymeClass	6.3.4.7	ribose-5-phosphate---ammonia ligase
EC:6.3.5.10	EnzymeClass	6.3.5.10	adenosylcobyric acid synthase (glutamine-hydrolysing)
EC:6.3.5.12	EnzymeClass	6.3.5.12	Ni-sirohydrochlorin a,c-diamide synthase
EC:7.4.2.1	EnzymeClass	7.4.2.1	ABC-type polar-amino-acid transporter
EC:7.6.2.1	EnzymeClass	7.6.2.1	P-type phospholipid transporter
EC:1.1.3.7	EnzymeClass	1.1.3.7	aryl-alcohol oxidase
EC:1.1.3.14	EnzymeClass	1.1.3.14	catechol oxidase (dimerizing)
EC:1.1.99.41	EnzymeClass	1.1.99.41	3-hydroxy-1,2-didehydro-2,3-dihydrotabersonine reductase
