id:ID	:LABEL	label	biotype	description	source	source2
ENSG00000213759	Gene	UGT2B11	protein_coding	UDP glucuronosyltransferase family 2 member B11 [Source:HGNC Symbol;Acc:HGNC:12545]	ensembl	havana
ENSG00000282801	Gene	IGKV1-5	IG_V_gene	immunoglobulin kappa variable 1-5 [Source:HGNC Symbol;Acc:HGNC:5741]	ensembl	havana
ENSG00000169575	Gene	VPREB1	protein_coding	V-set pre-B cell surrogate light chain 1 [Source:HGNC Symbol;Acc:HGNC:12709]	ensembl	ensembl_havana
ENSG00000224103	Gene	HLA-DPA1	protein_coding	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	ensembl	havana
ENSG00000118689	Gene	FOXO3	protein_coding	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	ensembl	ensembl_havana
ENSG00000232960	Gene	CSNK2B	protein_coding	casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460]	ensembl	ensembl_havana
ENSG00000178913	Gene	TAF7	protein_coding	TATA-box binding protein associated factor 7 [Source:HGNC Symbol;Acc:HGNC:11541]	ensembl	ensembl_havana
ENSG00000067900	Gene	ROCK1	protein_coding	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	ensembl	ensembl_havana
ENSG00000254087	Gene	LYN	protein_coding	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	ensembl	ensembl_havana
ENSG00000175216	Gene	CKAP5	protein_coding	cytoskeleton associated protein 5 [Source:HGNC Symbol;Acc:HGNC:28959]	ensembl	ensembl_havana
ENSG00000126001	Gene	CEP250	protein_coding	centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]	ensembl	ensembl_havana
ENSG00000177380	Gene	PPFIA3	protein_coding	PTPRF interacting protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:9247]	ensembl	ensembl_havana
ENSG00000180209	Gene	MYLPF	protein_coding	myosin light chain, phosphorylatable, fast skeletal muscle [Source:HGNC Symbol;Acc:HGNC:29824]	ensembl	ensembl_havana
ENSG00000104833	Gene	TUBB4A	protein_coding	tubulin beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774]	ensembl	ensembl_havana
ENSG00000099194	Gene	SCD	protein_coding	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	ensembl	ensembl_havana
ENSG00000186654	Gene	PRR5	protein_coding	proline rich 5 [Source:HGNC Symbol;Acc:HGNC:31682]	ensembl	ensembl_havana
ENSG00000106384	Gene	MOGAT3	protein_coding	monoacylglycerol O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:23249]	ensembl	ensembl_havana
ENSG00000107862	Gene	GBF1	protein_coding	golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]	ensembl	ensembl_havana
ENSG00000069966	Gene	GNB5	protein_coding	G protein subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]	ensembl	ensembl_havana
ENSG00000142330	Gene	CAPN10	protein_coding	calpain 10 [Source:HGNC Symbol;Acc:HGNC:1477]	ensembl	ensembl_havana
ENSG00000108947	Gene	EFNB3	protein_coding	ephrin B3 [Source:HGNC Symbol;Acc:HGNC:3228]	ensembl	ensembl_havana
ENSG00000276618	Gene	RAD17	protein_coding	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	ensembl	ensembl_havana
ENSG00000075290	Gene	WNT8B	protein_coding	Wnt family member 8B [Source:HGNC Symbol;Acc:HGNC:12789]	ensembl	ensembl_havana
ENSG00000186136	Gene	TAS2R42	protein_coding	taste 2 receptor member 42 [Source:HGNC Symbol;Acc:HGNC:18888]	ensembl	ensembl_havana
ENSG00000135972	Gene	MRPS9	protein_coding	mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]	ensembl	ensembl_havana
ENSG00000236949	Gene	ZNRD1	protein_coding	zinc ribbon domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13182]	ensembl	ensembl_havana
ENSG00000205358	Gene	MT1H	protein_coding	metallothionein 1H [Source:HGNC Symbol;Acc:HGNC:7400]	ensembl	ensembl_havana
ENSG00000204475	Gene	NCR3	protein_coding	natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077]	ensembl	ensembl_havana
ENSG00000168484	Gene	SFTPC	protein_coding	surfactant protein C [Source:HGNC Symbol;Acc:HGNC:10802]	ensembl	ensembl_havana
ENSG00000184216	Gene	IRAK1	protein_coding	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]	ensembl	ensembl_havana
ENSG00000163702	Gene	IL17RC	protein_coding	interleukin 17 receptor C [Source:HGNC Symbol;Acc:HGNC:18358]	ensembl	ensembl_havana
ENSG00000076242	Gene	MLH1	protein_coding	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	ensembl	ensembl_havana
ENSG00000181896	Gene	ZNF101	protein_coding	zinc finger protein 101 [Source:HGNC Symbol;Acc:HGNC:12881]	ensembl	ensembl_havana
ENSG00000163586	Gene	FABP1	protein_coding	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	ensembl	ensembl_havana
ENSG00000121716	Gene	PILRB	protein_coding	paired immunoglobin-like type 2 receptor beta [Source:HGNC Symbol;Acc:HGNC:18297]	ensembl	ensembl_havana
ENSG00000147133	Gene	TAF1	protein_coding	TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:11535]	ensembl	ensembl_havana
ENSG00000100479	Gene	POLE2	protein_coding	DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]	ensembl	ensembl_havana
ENSG00000131828	Gene	PDHA1	protein_coding	pyruvate dehydrogenase E1 alpha 1 subunit [Source:HGNC Symbol;Acc:HGNC:8806]	ensembl	ensembl_havana
ENSG00000104687	Gene	GSR	protein_coding	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	ensembl	ensembl_havana
ENSG00000140988	Gene	RPS2	protein_coding	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	ensembl	ensembl_havana
ENSG00000113522	Gene	RAD50	protein_coding	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	ensembl	ensembl_havana
ENSG00000168243	Gene	GNG4	protein_coding	G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]	ensembl	ensembl_havana
ENSG00000151694	Gene	ADAM17	protein_coding	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	ensembl	ensembl_havana
ENSG00000070388	Gene	FGF22	protein_coding	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]	ensembl	ensembl_havana
ENSG00000179142	Gene	CYP11B2	protein_coding	cytochrome P450 family 11 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:2592]	ensembl	ensembl_havana
ENSG00000081189	Gene	MEF2C	protein_coding	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	ensembl	ensembl_havana
ENSG00000091409	Gene	ITGA6	protein_coding	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	ensembl	ensembl_havana
ENSG00000104973	Gene	MED25	protein_coding	mediator complex subunit 25 [Source:HGNC Symbol;Acc:HGNC:28845]	ensembl	ensembl_havana
ENSG00000138092	Gene	CENPO	protein_coding	centromere protein O [Source:HGNC Symbol;Acc:HGNC:28152]	ensembl	ensembl_havana
ENSG00000226463	Gene	OR2W1	protein_coding	olfactory receptor family 2 subfamily W member 1 [Source:HGNC Symbol;Acc:HGNC:8281]	ensembl	ensembl_havana
ENSG00000181929	Gene	PRKAG1	protein_coding	protein kinase AMP-activated non-catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:9385]	ensembl	ensembl_havana
ENSG00000176884	Gene	GRIN1	protein_coding	glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584]	ensembl	ensembl_havana
ENSG00000277804	Gene	PRTN3	protein_coding	proteinase 3 [Source:HGNC Symbol;Acc:HGNC:9495]	ensembl	ensembl_havana
ENSG00000006459	Gene	KDM7A	protein_coding	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]	ensembl	ensembl_havana
ENSG00000161642	Gene	ZNF385A	protein_coding	zinc finger protein 385A [Source:HGNC Symbol;Acc:HGNC:17521]	ensembl	ensembl_havana
ENSG00000152192	Gene	POU4F1	protein_coding	POU class 4 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9218]	ensembl	ensembl_havana
ENSG00000158623	Gene	COPG2	protein_coding	coatomer protein complex subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:2237]	ensembl	ensembl_havana
ENSG00000180386	Gene	KRTAP9-7	protein_coding	keratin associated protein 9-7 [Source:HGNC Symbol;Acc:HGNC:18915]	ensembl	ensembl_havana
ENSG00000103264	Gene	FBXO31	protein_coding	F-box protein 31 [Source:HGNC Symbol;Acc:HGNC:16510]	ensembl	ensembl_havana
ENSG00000102021	Gene	LUZP4	protein_coding	leucine zipper protein 4 [Source:HGNC Symbol;Acc:HGNC:24971]	ensembl	ensembl_havana
ENSG00000153885	Gene	KCTD15	protein_coding	potassium channel tetramerization domain containing 15 [Source:HGNC Symbol;Acc:HGNC:23297]	ensembl	ensembl_havana
ENSG00000110442	Gene	COMMD9	protein_coding	COMM domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25014]	ensembl	ensembl_havana
ENSG00000120963	Gene	ZNF706	protein_coding	zinc finger protein 706 [Source:HGNC Symbol;Acc:HGNC:24992]	ensembl	ensembl_havana
ENSG00000099617	Gene	EFNA2	protein_coding	ephrin A2 [Source:HGNC Symbol;Acc:HGNC:3222]	ensembl	ensembl_havana
ENSG00000106123	Gene	EPHB6	protein_coding	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	ensembl	ensembl_havana
ENSG00000154928	Gene	EPHB1	protein_coding	EPH receptor B1 [Source:HGNC Symbol;Acc:HGNC:3392]	ensembl	ensembl_havana
ENSG00000103194	Gene	USP10	protein_coding	ubiquitin specific peptidase 10 [Source:HGNC Symbol;Acc:HGNC:12608]	ensembl	ensembl_havana
ENSG00000105993	Gene	DNAJB6	protein_coding	DnaJ heat shock protein family (Hsp40) member B6 [Source:HGNC Symbol;Acc:HGNC:14888]	ensembl	ensembl_havana
ENSG00000108604	Gene	SMARCD2	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 [Source:HGNC Symbol;Acc:HGNC:11107]	ensembl	ensembl_havana
ENSG00000180113	Gene	TDRD6	protein_coding	tudor domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21339]	ensembl	ensembl_havana
ENSG00000185920	Gene	PTCH1	protein_coding	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	ensembl	ensembl_havana
ENSG00000137313	Gene	TRIM26	protein_coding	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	ensembl	ensembl_havana
ENSG00000161791	Gene	FMNL3	protein_coding	formin like 3 [Source:HGNC Symbol;Acc:HGNC:23698]	ensembl	ensembl_havana
ENSG00000240505	Gene	TNFRSF13B	protein_coding	TNF receptor superfamily member 13B [Source:HGNC Symbol;Acc:HGNC:18153]	ensembl	ensembl_havana
ENSG00000075413	Gene	MARK3	protein_coding	microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	ensembl	ensembl_havana
ENSG00000138166	Gene	DUSP5	protein_coding	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	ensembl	ensembl_havana
ENSG00000149798	Gene	CDC42EP2	protein_coding	CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263]	ensembl	ensembl_havana
ENSG00000183214	Gene	MICA	protein_coding	MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:HGNC:7090]	ensembl	ensembl_havana
ENSG00000109339	Gene	MAPK10	protein_coding	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	ensembl	ensembl_havana
ENSG00000115966	Gene	ATF2	protein_coding	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]	ensembl	ensembl_havana
ENSG00000116489	Gene	CAPZA1	protein_coding	capping actin protein of muscle Z-line alpha subunit 1 [Source:HGNC Symbol;Acc:HGNC:1488]	ensembl	ensembl_havana
ENSG00000185745	Gene	IFIT1	protein_coding	interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]	ensembl	ensembl_havana
ENSG00000214113	Gene	LYRM4	protein_coding	LYR motif containing 4 [Source:HGNC Symbol;Acc:HGNC:21365]	ensembl	ensembl_havana
ENSG00000164821	Gene	DEFA4	protein_coding	defensin alpha 4 [Source:HGNC Symbol;Acc:HGNC:2763]	ensembl	ensembl_havana
ENSG00000110042	Gene	DTX4	protein_coding	deltex E3 ubiquitin ligase 4 [Source:HGNC Symbol;Acc:HGNC:29151]	ensembl	ensembl_havana
ENSG00000049167	Gene	ERCC8	protein_coding	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]	ensembl	ensembl_havana
ENSG00000165059	Gene	PRKACG	protein_coding	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	ensembl	ensembl_havana
ENSG00000146085	Gene	MUT	protein_coding	methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526]	ensembl	ensembl_havana
ENSG00000187758	Gene	ADH1A	protein_coding	alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]	ensembl	ensembl_havana
ENSG00000008988	Gene	RPS20	protein_coding	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	ensembl	ensembl_havana
ENSG00000185808	Gene	PIGP	protein_coding	phosphatidylinositol glycan anchor biosynthesis class P [Source:HGNC Symbol;Acc:HGNC:3046]	ensembl	ensembl_havana
ENSG00000213949	Gene	ITGA1	protein_coding	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	ensembl	ensembl_havana
ENSG00000206471	Gene	OR2H1	protein_coding	olfactory receptor family 2 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:8252]	ensembl	ensembl_havana
ENSG00000170962	Gene	PDGFD	protein_coding	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	ensembl	ensembl_havana
ENSG00000103381	Gene	CPPED1	protein_coding	calcineurin like phosphoesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25632]	ensembl	ensembl_havana
ENSG00000106993	Gene	CDC37L1	protein_coding	cell division cycle 37 like 1 [Source:HGNC Symbol;Acc:HGNC:17179]	ensembl	ensembl_havana
ENSG00000122068	Gene	FYTTD1	protein_coding	forty-two-three domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25407]	ensembl	ensembl_havana
ENSG00000127252	Gene	HRASLS	protein_coding	HRAS like suppressor [Source:HGNC Symbol;Acc:HGNC:14922]	ensembl	ensembl_havana
ENSG00000147912	Gene	FBXO10	protein_coding	F-box protein 10 [Source:HGNC Symbol;Acc:HGNC:13589]	ensembl	ensembl_havana
ENSG00000278674	Gene	RP11-49K24.9	protein_coding	elongin A3 family member B [Source:HGNC Symbol;Acc:HGNC:31007]	ensembl	havana
ENSG00000114251	Gene	WNT5A	protein_coding	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	ensembl	ensembl_havana
ENSG00000146674	Gene	IGFBP3	protein_coding	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	ensembl	ensembl_havana
ENSG00000107281	Gene	NPDC1	protein_coding	neural proliferation, differentiation and control 1 [Source:HGNC Symbol;Acc:HGNC:7899]	ensembl	ensembl_havana
ENSG00000276833	Gene	TAF15	protein_coding	TATA-box binding protein associated factor 15 [Source:HGNC Symbol;Acc:HGNC:11547]	ensembl	ensembl_havana
ENSG00000140548	Gene	ZNF710	protein_coding	zinc finger protein 710 [Source:HGNC Symbol;Acc:HGNC:25352]	ensembl	ensembl_havana
ENSG00000125952	Gene	MAX	protein_coding	MYC associated factor X [Source:HGNC Symbol;Acc:HGNC:6913]	ensembl	ensembl_havana
ENSG00000144229	Gene	THSD7B	protein_coding	thrombospondin type 1 domain containing 7B [Source:HGNC Symbol;Acc:HGNC:29348]	ensembl	ensembl_havana
ENSG00000071553	Gene	ATP6AP1	protein_coding	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	ensembl	ensembl_havana
ENSG00000120659	Gene	TNFSF11	protein_coding	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	ensembl	ensembl_havana
ENSG00000210077	Gene	<null>	Mt_tRNA	mitochondrially encoded tRNA valine [Source:HGNC Symbol;Acc:HGNC:7500]	ensembl	insdc
ENSG00000132164	Gene	SLC6A11	protein_coding	solute carrier family 6 member 11 [Source:HGNC Symbol;Acc:HGNC:11044]	ensembl	ensembl_havana
ENSG00000229094	Gene	POU5F1	protein_coding	POU class 5 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9221]	ensembl	ensembl_havana
ENSG00000172020	Gene	GAP43	protein_coding	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	ensembl	ensembl_havana
ENSG00000227357	Gene	HLA-DRB4	protein_coding	major histocompatibility complex, class II, DR beta 4 [Source:HGNC Symbol;Acc:HGNC:4952]	ensembl	ensembl_havana
ENSG00000197111	Gene	PCBP2	protein_coding	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]	ensembl	ensembl_havana
ENSG00000099337	Gene	KCNK6	protein_coding	potassium two pore domain channel subfamily K member 6 [Source:HGNC Symbol;Acc:HGNC:6281]	ensembl	ensembl_havana
ENSG00000106304	Gene	SPAM1	protein_coding	sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]	ensembl	ensembl_havana
ENSG00000257473	Gene	HLA-DQA2	protein_coding	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	ensembl	ensembl_havana
ENSG00000005156	Gene	LIG3	protein_coding	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	ensembl	ensembl_havana
ENSG00000134001	Gene	EIF2S1	protein_coding	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	ensembl	ensembl_havana
ENSG00000112576	Gene	CCND3	protein_coding	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	ensembl	ensembl_havana
ENSG00000174886	Gene	NDUFA11	protein_coding	NADH:ubiquinone oxidoreductase subunit A11 [Source:HGNC Symbol;Acc:HGNC:20371]	ensembl	ensembl_havana
ENSG00000114030	Gene	KPNA1	protein_coding	karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394]	ensembl	ensembl_havana
ENSG00000233151	Gene	CYP21A2	protein_coding	cytochrome P450 family 21 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2600]	ensembl	ensembl_havana
ENSG00000273575	Gene	KIR2DL4	protein_coding	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	ensembl	ensembl_havana
ENSG00000064309	Gene	CDON	protein_coding	cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]	ensembl	ensembl_havana
ENSG00000150907	Gene	FOXO1	protein_coding	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	ensembl	ensembl_havana
ENSG00000275737	Gene	KIR2DS2	protein_coding	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]	ensembl	havana
ENSG00000105649	Gene	RAB3A	protein_coding	RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9777]	ensembl	ensembl_havana
ENSG00000186526	Gene	CYP4F8	protein_coding	cytochrome P450 family 4 subfamily F member 8 [Source:HGNC Symbol;Acc:HGNC:2648]	ensembl	ensembl_havana
ENSG00000074266	Gene	EED	protein_coding	embryonic ectoderm development [Source:HGNC Symbol;Acc:HGNC:3188]	ensembl	ensembl_havana
ENSG00000163734	Gene	CXCL3	protein_coding	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	ensembl	ensembl_havana
ENSG00000161888	Gene	SPC24	protein_coding	SPC24, NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:26913]	ensembl	ensembl_havana
ENSG00000068796	Gene	KIF2A	protein_coding	kinesin family member 2A [Source:HGNC Symbol;Acc:HGNC:6318]	ensembl	ensembl_havana
ENSG00000092531	Gene	SNAP23	protein_coding	synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131]	ensembl	ensembl_havana
ENSG00000175398	Gene	OR10P1	protein_coding	olfactory receptor family 10 subfamily P member 1 [Source:HGNC Symbol;Acc:HGNC:15378]	ensembl	ensembl_havana
ENSG00000214415	Gene	GNAT3	protein_coding	G protein subunit alpha transducin 3 [Source:HGNC Symbol;Acc:HGNC:22800]	ensembl	ensembl_havana
ENSG00000198561	Gene	CTNND1	protein_coding	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	ensembl	ensembl_havana
ENSG00000122674	Gene	CCZ1	protein_coding	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated [Source:HGNC Symbol;Acc:HGNC:21691]	ensembl	ensembl_havana
ENSG00000176476	Gene	SGF29	protein_coding	SAGA complex associated factor 29 [Source:HGNC Symbol;Acc:HGNC:25156]	ensembl	ensembl_havana
ENSG00000112651	Gene	MRPL2	protein_coding	mitochondrial ribosomal protein L2 [Source:HGNC Symbol;Acc:HGNC:14056]	ensembl	ensembl_havana
ENSG00000108826	Gene	MRPL27	protein_coding	mitochondrial ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:14483]	ensembl	ensembl_havana
ENSG00000105829	Gene	BET1	protein_coding	Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]	ensembl	ensembl_havana
ENSG00000118939	Gene	UCHL3	protein_coding	ubiquitin C-terminal hydrolase L3 [Source:HGNC Symbol;Acc:HGNC:12515]	ensembl	ensembl_havana
ENSG00000070366	Gene	SMG6	protein_coding	SMG6, nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:17809]	ensembl	ensembl_havana
ENSG00000261609	Gene	GAN	protein_coding	gigaxonin [Source:HGNC Symbol;Acc:HGNC:4137]	ensembl	ensembl_havana
